epoch,accuracy,loss,val_accuracy,val_loss
0,1.675131898082327e-05,0.032142870128154755,3.934108462999575e-05,0.02686367556452751
1,2.9329445169423707e-05,0.020863274112343788,2.5484507204964757e-05,0.018707184121012688
2,7.837643352104351e-05,0.01745506189763546,0.00016368697106372565,0.015549134463071823
3,0.0003105331561528146,0.016244811937212944,0.0024257819168269634,0.01481348741799593
4,0.0004715754184871912,0.015244632959365845,0.00022237139637582004,0.015008688904345036
5,0.00038452263106592,0.014547486789524555,0.0009982032934203744,0.013499797321856022
6,0.0005232465919107199,0.014167462475597858,0.0004081719962414354,0.012962250970304012
7,0.000630988331977278,0.013658730313181877,0.0007098640780895948,0.013153847306966782
8,0.0006112126284278929,0.013284052722156048,0.0004988920991308987,0.01213380228728056
9,0.0006735160131938756,0.013101814314723015,0.0008888627053238451,0.012614253908395767
